[-1.4207972288131714, -15.847789764404297, 3.8718421459198]
[91, 8.27607250213623, 8.763636589050293, 2.393681287765503]
[92, 8.247655868530273, 8.446681022644043, 2.4691579341888428]
[93, 8.21924114227295, 8.129724502563477, 2.540714979171753]
[94, 8.190824508666992, 7.812768936157227, 2.608351707458496]
[95, 8.162408828735352, 7.495813369750977, 2.6720688343048096]
[96, 8.133993148803711, 7.178857326507568, 2.731865644454956]
[97, 8.105576515197754, 6.861901760101318, 2.7877423763275146]
[98, 8.077160835266113, 6.544946193695068, 2.8396990299224854]
[99, 8.048745155334473, 6.22799015045166, 2.8877358436584473]
[100, 8.020328521728516, 5.911034107208252, 2.9318528175354004]
[101, 7.991912841796875, 5.594078540802002, 2.9720494747161865]
[102, 7.963496685028076, 5.277122974395752, 3.008326530456543]
[103, 7.9350810050964355, 4.960167407989502, 3.0406832695007324]
[104, 7.906664848327637, 4.643211364746094, 3.069120168685913]
[105, 7.878248691558838, 4.3262553215026855, 3.093636989593506]
[106, 7.8498334884643555, 4.0092997550964355, 3.1142337322235107]
[107, 7.821417331695557, 3.6923439502716064, 3.130910634994507]
[108, 7.793001174926758, 3.3753881454467773, 3.143667221069336]
[109, 7.764585494995117, 3.058432102203369, 3.1525046825408936]
[110, 7.736169338226318, 2.741476535797119, 3.157421350479126]
[111, 7.7077531814575195, 2.424520969390869, 3.1584181785583496]
[112, 7.679337978363037, 2.107565402984619, 3.1554946899414062]
[113, 7.650921821594238, 1.7906091213226318, 3.1486518383026123]
[114, 7.6225056648254395, 1.4736535549163818, 3.1378884315490723]
[115, 7.594089984893799, 1.1566979885101318, 3.1232056617736816]
[116, 7.565673828125, 0.8397418260574341, 3.104602098464966]
[117, 7.537257671356201, 0.5227862596511841, 3.0820791721343994]
[118, 7.508841514587402, 0.20583008229732513, 3.055635929107666]
[119, 7.480425834655762, -0.11112549155950546, 3.025272846221924]
[120, 7.452009677886963, -0.42808106541633606, 2.9909894466400146]
[121, 7.423593521118164, -0.7450372576713562, 2.952786445617676]
[122, 7.395178318023682, -1.0619927644729614, 2.910663366317749]
[123, 7.366762161254883, -1.3789483308792114, 2.8646204471588135]
[124, 7.338346004486084, -1.6959044933319092, 2.814656972885132]
[125, 7.309930324554443, -2.012860059738159, 2.7607738971710205]
[126, 7.2815141677856445, -2.329815626144409, 2.702970266342163]
[127, 7.253098011016846, -2.6467723846435547, 2.641247510910034]
[128, 7.224682807922363, -2.9637279510498047, 2.5756044387817383]
[129, 7.1962666511535645, -3.2806835174560547, 2.5060412883758545]
[130, 7.167850494384766, -3.5976390838623047, 2.4325575828552246]
[131, 7.139434814453125, -3.9145946502685547, 2.3551547527313232]
[132, 7.111018657684326, -4.231550216674805, 2.273831844329834]
[133, 7.082602500915527, -4.548505783081055, 2.1885886192321777]
[134, 7.054186820983887, -4.865462779998779, 2.0994255542755127]
[135, 7.025770664215088, -5.182418346405029, 2.0063421726226807]
[136, 6.997354507446289, -5.499373912811279, 1.9093387126922607]
[137, 6.968939304351807, -5.816329479217529, 1.8084158897399902]
