[-1.490097999572754, -18.773284912109375, 3.6231565475463867]
[91, 9.49112606048584, 18.033079147338867, 2.314265489578247]
[92, 9.461323738098145, 17.657611846923828, 2.384768486022949]
[93, 9.431522369384766, 17.282146453857422, 2.4513518810272217]
[94, 9.40172004699707, 16.90668296813965, 2.514014720916748]
[95, 9.371918678283691, 16.53121566772461, 2.572758197784424]
[96, 9.342116355895996, 16.155750274658203, 2.6275811195373535]
[97, 9.3123140335083, 15.780284881591797, 2.6784842014312744]
[98, 9.282512664794922, 15.40481948852539, 2.7254672050476074]
[99, 9.252710342407227, 15.029353141784668, 2.7685303688049316]
[100, 9.222908020019531, 14.653886795043945, 2.807673692703247]
[101, 9.193106651306152, 14.278421401977539, 2.8428966999053955]
[102, 9.163304328918457, 13.90295696258545, 2.874199867248535]
[103, 9.133502960205078, 13.527490615844727, 2.901582956314087]
[104, 9.103700637817383, 13.15202522277832, 2.925045967102051]
[105, 9.073899269104004, 12.776558876037598, 2.944589138031006]
[106, 9.044096946716309, 12.401093482971191, 2.960212469100952]
[107, 9.014294624328613, 12.025627136230469, 2.9719154834747314]
[108, 8.984493255615234, 11.650160789489746, 2.979698419570923]
[109, 8.954690933227539, 11.274696350097656, 2.9835617542266846]
[110, 8.924888610839844, 10.89923095703125, 2.9835052490234375]
[111, 8.895086288452148, 10.523764610290527, 2.9795279502868652]
[112, 8.86528491973877, 10.148299217224121, 2.9716310501098633]
[113, 8.835482597351074, 9.772832870483398, 2.9598145484924316]
[114, 8.805681228637695, 9.397367477416992, 2.944077491760254]
[115, 8.77587890625, 9.021902084350586, 2.9244203567504883]
[116, 8.746077537536621, 8.646435737609863, 2.900843620300293]
[117, 8.716275215148926, 8.270971298217773, 2.8733468055725098]
[118, 8.686473846435547, 7.895503997802734, 2.8419299125671387]
[119, 8.656671524047852, 7.520039081573486, 2.8065929412841797]
[120, 8.626869201660156, 7.144574165344238, 2.767336130142212]
[121, 8.597066879272461, 6.769107818603516, 2.7241592407226562]
[122, 8.567265510559082, 6.393641471862793, 2.6770622730255127]
[123, 8.537463188171387, 6.018176078796387, 2.6260454654693604]
[124, 8.507660865783691, 5.642709732055664, 2.571108818054199]
[125, 8.477859497070312, 5.267244815826416, 2.512251853942871]
[126, 8.448058128356934, 4.891779899597168, 2.449474811553955]
[127, 8.418255805969238, 4.516313552856445, 2.3827781677246094]
[128, 8.388453483581543, 4.140847206115723, 2.3121612071990967]
[129, 8.358652114868164, 3.7653820514678955, 2.237624406814575]
[130, 8.328849792480469, 3.3899168968200684, 2.1591672897338867]
[131, 8.299047470092773, 3.014450788497925, 2.0767905712127686]
[132, 8.269245147705078, 2.6389856338500977, 1.9904937744140625]
[133, 8.2394437789917, 2.263519287109375, 1.900276780128479]
[134, 8.209641456604004, 1.8880529403686523, 1.8061401844024658]
[135, 8.179840087890625, 1.5125879049301147, 1.708082914352417]
[136, 8.15003776550293, 1.1371227502822876, 1.6061062812805176]
[137, 8.120235443115234, 0.7616565227508545, 1.5002096891403198]
[138, 8.090434074401855, 0.38619139790534973, 1.3903924226760864]
[139, 8.060632705688477, 0.010725097730755806, 1.2766549587249756]
